Create Date,Primary Reference,Status,Weight,Target Ship (Early),Target Ship (Late),Target Delivery (Early),Target Delivery (Late),Origin Code,Origin Name,Origin City,Origin State,Origin Zip,Origin Ctry,Dest Code,Dest City,Dest Name,Dest State,Dest Zip,Dest Ctry,JDE Sales Order Number,JDE Sales Order Type,Brokered SCAC,Cube,Completed Activity Date
3/9/2022 14:38,341557 (BOL),Tendered,42730,3/18/2022 0:01,3/18/2022 23:59,3/20/2022 0:01,3/20/2022 23:59,351314,CA WH21,BOIS-GAGNON,NB,E8M 1A3,CA,245570,ELIZABETH,US WH7,NJ,7201,US,30370507,S9,,22,3/11/2022
3/11/2022 16:23,342548 (BOL),Booked,42590,3/15/2022 0:01,3/15/2022 23:59,3/17/2022 0:01,3/17/2022 23:59,351314,CA WH21,BOIS-GAGNON,NB,E8M 1A3,CA,245553,BRAMPTON,CA WH9,ON,L6T 5W2,CA,30371016,ST,,19,3/15/2022
3/13/2022 8:37,342729 (BOL),Booked,40974,3/16/2022 0:01,3/16/2022 23:59,3/18/2022 0:01,3/18/2022 23:59,456537,CA WH22,SACKVILLE,NB,E4L 3V4,CA,245559,BOUCHERVILLE,CA WH4,QC,J4B 1K7,CA,30371136,ST,,23,3/14/2022
3/15/2022 12:44,343656 (BOL),Booked,51288,3/18/2022 0:01,3/18/2022 23:59,3/21/2022 0:01,3/21/2022 23:59,245559,CA WH4,BOUCHERVILLE,QC,J4B 1K7,CA,186954,DRUMMONDVILLE,A649,QC,J2C 5Z4,CA,30371503,SO,,23,3/15/2022
3/10/2022 8:14,341767 (BOL),Booked,40815,3/14/2022 0:01,3/14/2022 23:59,3/16/2022 0:01,3/16/2022 23:59,245533,CA WH7,LETHBRIDGE,AB,T1H 6X9,CA,479263,PLEASANTON,A99,CA,94566,US,60835631,SI,,19,3/10/2022
3/15/2022 11:37,343629 (BOL),Booked,41211,3/26/2022 0:01,3/26/2022 23:59,3/29/2022 0:01,3/29/2022 23:59,245553,CA WH9,BRAMPTON,ON,L6T 5W2,CA,185972,NEWNAN,A416,GA,30265,US,60840222,SI,,18,3/15/2022
3/7/2022 14:19,340462 (BOL),Booked,41345,3/21/2022 0:01,3/21/2022 23:59,3/23/2022 0:01,3/23/2022 23:59,245553,A999,BRAMPTON,ON,L6T 5W2,CA,306778,NORTH LITTLE ROCK,A76,AR,72117,US,60835526,SI,,20,3/21/2022
3/7/2022 14:19,340463 (BOL),Booked,41345,3/19/2022 0:01,3/19/2022 23:59,3/22/2022 0:01,3/22/2022 23:59,245553,A999,BRAMPTON,ON,L6T 5W2,CA,306778,NORTH LITTLE ROCK,A76,AR,72117,US,60835527,SI,,20,3/19/2022
3/7/2022 14:19,340464 (BOL),Booked,41345,3/23/2022 0:01,3/23/2022 23:59,3/25/2022 0:01,3/25/2022 23:59,245553,A999,BRAMPTON,ON,L6T 5W2,CA,306778,NORTH LITTLE ROCK,A76,AR,72117,US,60835528,SI,,20,3/23/2022
3/7/2022 14:19,340465 (BOL),Booked,41345,3/22/2022 0:01,3/22/2022 23:59,3/24/2022 0:01,3/24/2022 23:59,245553,A999,BRAMPTON,ON,L6T 5W2,CA,306778,NORTH LITTLE ROCK,A76,AR,72117,US,60835529,SI,,20,3/22/2022
3/14/2022 11:09,343080 (BOL),Booked,43500,3/23/2022 0:01,3/23/2022 23:59,3/23/2022 0:01,3/23/2022 23:59,245614,A999,JAMESTOWN,ND,58401,US,382325,BROOKLYN PARK,US WH6,MN,55428,US,60839578,ST,,19,3/24/2022
3/15/2022 9:53,343564 (BOL),Booked,24476,3/18/2022 0:01,3/18/2022 23:59,3/21/2022 0:01,3/21/2022 23:59,245590,CA WH11,CALGARY,AB,T2C 4N4,CA,186495,BURNABY,A1008,BC,V3N 5G4,CA,30370609,SO,,12,3/15/2022
3/15/2022 10:00,343566 (BOL),Booked,19900,3/18/2022 0:01,3/18/2022 23:59,3/21/2022 0:01,3/21/2022 23:59,245590,CA WH11,CALGARY,AB,T2C 4N4,CA,186885,ACHESON,A1072,AB,T7X 5A4,CA,30369163,SO,,12,3/15/2022
3/15/2022 10:10,343568 (BOL),Booked,20963,3/18/2022 0:01,3/18/2022 23:59,3/21/2022 0:01,3/21/2022 23:59,245590,CA WH11,CALGARY,AB,T2C 4N4,CA,185860,ROCKY VIEW,A1188,AB,T4A 0E2,CA,30371268,SO,,13,3/15/2022
3/15/2022 10:23,343574 (BOL),Booked,41806,3/21/2022 0:01,3/21/2022 23:59,3/22/2022 0:01,3/22/2022 23:59,245590,CA WH11,CALGARY,AB,T2C 4N4,CA,185685,AIRDRIE,A389,AB,T4B 2A3,CA,30371596,SO,,24,3/15/2022
1/27/2022 19:54,326477 (BOL),Tendered,50411,3/15/2022 0:01,3/15/2022 23:59,3/21/2022 0:01,3/21/2022 23:59,245517,CA WH1,DIEPPE,NB,E1A 9S5,CA,245590,CALGARY,CA WH0,AB,T2C 4N4,CA,30364352,ST,,22,3/15/2022
3/8/2022 14:59,341063 (BOL),Booked,42047,3/18/2022 0:01,3/18/2022 23:59,3/21/2022 0:01,3/21/2022 23:59,245517,CA WH1,DIEPPE,NB,E1A 9S5,CA,245553,BRAMPTON,CA WH9,ON,L6T 5W2,CA,30370195,ST,,22,3/18/2022
3/8/2022 14:59,341064 (BOL),Booked,42047,3/15/2022 0:01,3/15/2022 23:59,3/17/2022 0:01,3/17/2022 23:59,245517,CA WH1,DIEPPE,NB,E1A 9S5,CA,245553,BRAMPTON,CA WH9,ON,L6T 5W2,CA,30370196,ST,,22,3/15/2022
3/11/2022 16:24,342551 (BOL),Booked,43384,3/15/2022 0:01,3/15/2022 23:59,3/17/2022 0:01,3/17/2022 23:59,245517,CA WH1,DIEPPE,NB,E1A 9S5,CA,245553,BRAMPTON,CA WH9,ON,L6T 5W2,CA,30371019,ST,,22,3/15/2022
3/13/2022 17:53,342844 (BOL),Booked,40576,3/19/2022 0:01,3/19/2022 23:59,3/21/2022 0:01,3/21/2022 23:59,184934,CA WH12,SUMMERSIDE,PE,C1N 4J9,CA,245559,BOUCHERVILLE,CA WH4,QC,J4B 1K7,CA,30371232,ST,,18,3/19/2022
3/13/2022 17:53,342845 (BOL),Booked,42083,3/19/2022 0:01,3/19/2022 23:59,3/21/2022 0:01,3/21/2022 23:59,184934,CA WH12,SUMMERSIDE,PE,C1N 4J9,CA,245559,BOUCHERVILLE,CA WH4,QC,J4B 1K7,CA,30371233,ST,,18,3/19/2022
3/13/2022 17:53,342849 (BOL),Booked,41211,3/20/2022 0:01,3/20/2022 23:59,3/22/2022 0:01,3/22/2022 23:59,184934,CA WH13,SUMMERSIDE,PE,C1N 4J9,CA,245559,BOUCHERVILLE,CA WH4,QC,J4B 1K7,CA,30371238,ST,,18,3/20/2022
3/13/2022 17:54,342850 (BOL),Booked,41211,3/20/2022 0:01,3/20/2022 23:59,3/22/2022 0:01,3/22/2022 23:59,184934,CA WH13,SUMMERSIDE,PE,C1N 4J9,CA,245559,BOUCHERVILLE,CA WH4,QC,J4B 1K7,CA,30371239,ST,,18,3/20/2022
3/11/2022 13:58,342427 (BOL),Booked,42382,3/24/2022 0:01,3/24/2022 23:59,3/25/2022 0:01,3/25/2022 23:59,245553,CA WH13,BRAMPTON,ON,L6T 5W2,CA,185219,HARRISBURG,A1054,PA,17110,US,60838481,SI,,20,3/14/2022
3/13/2022 17:54,342851 (BOL),Booked,41156,3/20/2022 0:01,3/20/2022 23:59,3/22/2022 0:01,3/22/2022 23:59,184934,CA WH14,SUMMERSIDE,PE,C1N 4J9,CA,245559,BOUCHERVILLE,CA WH4,QC,J4B 1K7,CA,30371240,ST,,18,3/20/2022
2/8/2022 12:22,330189 (BOL),Tendered,40539,3/15/2022 0:01,3/15/2022 23:59,3/21/2022 0:01,3/21/2022 23:59,331859,CA WH2,MONCTON,NB,E1H 3S5,CA,245533,LETHBRIDGE,CA WH7,AB,T1H 6X9,CA,30363766,ST,,20,3/15/2022
3/11/2022 16:25,342554 (BOL),Booked,44313,3/15/2022 0:01,3/15/2022 23:59,3/20/2022 0:01,3/20/2022 23:59,331859,CA WH2,MONCTON,NB,E1H 3S5,CA,245533,LETHBRIDGE,CA WH7,AB,T1H 6X9,CA,30371022,ST,,28,3/14/2022
3/14/2022 14:24,343300 (BOL),Booked,43319,3/16/2022 0:01,3/16/2022 23:59,3/18/2022 0:01,3/18/2022 23:59,331859,CA WH2,MONCTON,NB,E1H 3S5,CA,245553,BRAMPTON,CA WH9,ON,L6T 5W2,CA,30371466,ST,,20,3/14/2022
3/11/2022 16:25,342553 (BOL),Booked,44313,3/15/2022 0:01,3/15/2022 23:59,3/20/2022 0:01,3/20/2022 23:59,331859,CA WH2,MONCTON,NB,E1H 3S5,CA,245590,CALGARY,CA WH11,AB,T2C 4N4,CA,30371021,ST,,28,3/14/2022
3/14/2022 13:57,343290 (BOL),Booked,49533,3/16/2022 0:01,3/16/2022 23:59,3/17/2022 0:01,3/17/2022 23:59,245525,CA WH20,BEACH POINT,PE,C0A 1V0,CA,245554,MONCTON,CA WH3,NB,E1A 3R1,CA,30371462,ST,,19,3/15/2022
2/3/2022 9:37,328597 (BOL),Tendered,31245,3/16/2022 0:01,3/16/2022 23:59,3/18/2022 0:01,3/18/2022 23:59,245554,CA WH3,MONCTON,NB,E1A 3R1,CA,185666,SOUTH PORTLAND,A537,ME,4106,US,60807204,SI,,15,3/16/2022
3/11/2022 15:59,342527 (BOL),Booked,43576,3/19/2022 0:01,3/19/2022 23:59,3/22/2022 0:01,3/22/2022 23:59,245554,CA WH3,MONCTON,NB,E1A 3R1,CA,186021,NEW WINDSOR,A765,MD,21776,US,60836277,SI,,22,3/19/2022
3/11/2022 16:00,342528 (BOL),Booked,42800,3/22/2022 0:01,3/22/2022 23:59,3/24/2022 0:01,3/24/2022 23:59,245554,CA WH3,MONCTON,NB,E1A 3R1,CA,185666,SOUTH PORTLAND,A537,ME,4106,US,60837652,SI,,24,3/22/2022
3/11/2022 16:09,342531 (BOL),Booked,42567,3/22/2022 0:01,3/22/2022 23:59,3/24/2022 0:01,3/24/2022 23:59,245554,CA WH3,MONCTON,NB,E1A 3R1,CA,185664,SCHODACK LANDING,A538,NY,12156,US,60837653,SI,,24,3/22/2022
3/11/2022 16:11,342535 (BOL),Booked,29348,3/29/2022 0:01,3/29/2022 23:59,4/1/2022 0:01,4/1/2022 23:59,245554,CA WH3,MONCTON,NB,E1A 3R1,CA,185518,BREWSTER,A6,NY,10509,US,60838435,SI,,14,3/29/2022
3/13/2022 7:57,342727 (BOL),Booked,43532,4/11/2022 0:01,4/11/2022 23:59,4/13/2022 0:01,4/13/2022 23:59,245554,CA WH3,MONCTON,NB,E1A 3R1,CA,185293,TAUNTON,A747,MA,2780,US,60835273,SI,,21,3/13/2022
2/23/2022 7:51,335622 (BOL),Tendered,41813,3/15/2022 0:01,3/15/2022 23:59,3/21/2022 0:01,3/21/2022 23:59,245554,CA WH3,MONCTON,NB,E1A 3R1,CA,245533,LETHBRIDGE,CA WH7,AB,T1H 6X9,CA,30367019,ST,,23,3/15/2022
3/14/2022 11:28,343110 (BOL),Booked,48737,3/21/2022 0:01,3/21/2022 23:59,3/23/2022 0:01,3/23/2022 23:59,245554,CA WH3,MONCTON,NB,E1A 3R1,CA,185934,MILTON,A1101,ON,L9T 6Y9,CA,30370846,SO,,23,3/21/2022
3/13/2022 9:22,342734 (BOL),Booked,41148,3/17/2022 0:01,3/17/2022 23:59,3/19/2022 0:01,3/19/2022 23:59,245554,CA WH3,MONCTON,NB,E1A 3R1,CA,245553,BRAMPTON,CA WH9,ON,L6T 5W2,CA,30371141,ST,,26,3/17/2022
3/14/2022 12:38,343216 (BOL),Booked,43669,3/24/2022 0:01,3/24/2022 23:59,3/26/2022 0:01,3/26/2022 23:59,245554,CA WH3,MONCTON,NB,E1A 3R1,CA,185077,PHILADELPHIA,A318,PA,19137,US,60835530,SI,,23,3/24/2022
3/14/2022 12:41,343219 (BOL),Booked,43281,3/20/2022 0:01,3/20/2022 23:59,3/22/2022 0:01,3/22/2022 23:59,245554,CA WH3,MONCTON,NB,E1A 3R1,CA,185293,TAUNTON,A747,MA,2780,US,60839515,SI,,20,3/20/2022
3/14/2022 14:38,343309 (BOL),Booked,43515,3/15/2022 0:01,3/15/2022 23:59,3/17/2022 0:01,3/17/2022 23:59,245554,CA WH3,MONCTON,NB,E1A 3R1,CA,380983,TAUNTON,A961,MA,2780,US,60837705,SI,,20,3/15/2022
3/14/2022 15:29,343344 (BOL),Tendered,40349,3/18/2022 0:01,3/18/2022 23:59,3/21/2022 0:01,3/21/2022 23:59,245554,CA WH3,MONCTON,NB,E1A 3R1,CA,185550,RICHMOND,A777,VA,23228,US,60839744,SI,,22,3/18/2022
3/14/2022 16:09,343401 (BOL),Booked,43572,3/22/2022 0:01,3/22/2022 23:59,3/25/2022 0:01,3/25/2022 23:59,245554,CA WH3,MONCTON,NB,E1A 3R1,CA,185803,FALCONER,A627,NY,14733,US,60839538,SI,,22,3/22/2022
3/14/2022 16:15,343419 (BOL),Booked,40307,3/19/2022 0:01,3/19/2022 23:59,3/22/2022 0:01,3/22/2022 23:59,245554,CA WH3,MONCTON,NB,E1A 3R1,CA,256891,ESSEX,A750,VT,5452,US,60839811,SI,,16,3/19/2022
2/25/2022 7:37,336443 (BOL),Tendered,9240,3/15/2022 0:01,3/15/2022 23:59,3/21/2022 0:01,3/21/2022 23:59,245554,CA WH3,MONCTON,NB,E1A 3R1,CA,245590,CALGARY,CA WH11,AB,T2C 4N4,CA,,ST,,7,3/15/2022
3/14/2022 16:29,343444 (BOL),Booked,43565,3/19/2022 0:01,3/19/2022 23:59,3/21/2022 0:01,3/21/2022 23:59,245554,CA WH3,MONCTON,NB,E1A 3R1,CA,185686,BOSTON,A380,MA,2118,US,60839810,SI,,20,3/19/2022
3/15/2022 10:56,343598 (BOL),Booked,43529,3/25/2022 0:01,3/25/2022 23:59,3/28/2022 0:01,3/28/2022 23:59,245554,CA WH3,MONCTON,NB,E1A 3R1,CA,185550,RICHMOND,A777,VA,23228,US,60839881,SI,,21,3/25/2022
3/14/2022 11:27,343106 (BOL),Booked,51461,3/24/2022 0:01,3/24/2022 23:59,3/25/2022 0:01,3/25/2022 23:59,245559,CA WH4,BOUCHERVILLE,QC,J4B 1K7,CA,185029,BARRIE,A1022,ON,L4M 5E1,CA,30370501,SO,,26,3/14/2022
3/14/2022 11:32,343117 (BOL),Booked,39943,3/17/2022 0:01,3/17/2022 23:59,3/18/2022 0:01,3/18/2022 23:59,245559,CA WH4,BOUCHERVILLE,QC,J4B 1K7,CA,460041,ETOBICOKE,A680,ON,M9C 1B8,CA,30371065,SO,,24,3/14/2022
3/14/2022 12:07,343170 (BOL),Booked,41804,3/18/2022 0:01,3/18/2022 23:59,3/21/2022 0:01,3/21/2022 23:59,245559,CA WH4,BOUCHERVILLE,QC,J4B 1K7,CA,186813,SCARBOROUGH,A385,ON,M1L 0E6,CA,30371385,SO,,21,3/14/2022
3/14/2022 13:14,343250 (BOL),Booked,34461,3/18/2022 0:01,3/18/2022 23:59,3/19/2022 0:01,3/19/2022 23:59,245559,CA WH4,BOUCHERVILLE,QC,J4B 1K7,CA,185501,CAMBRIDGE,A595,ON,N3E 1A2,CA,30370532,SO,,17,3/14/2022
3/14/2022 13:14,343253 (BOL),Booked,32975,3/18/2022 0:01,3/18/2022 23:59,3/21/2022 0:01,3/21/2022 23:59,245559,CA WH4,BOUCHERVILLE,QC,J4B 1K7,CA,185905,AJAX,A618,ON,L1Z 0B2,CA,30370841,SO,,17,3/14/2022
3/14/2022 13:14,343256 (BOL),Booked,38161,3/18/2022 0:01,3/18/2022 23:59,3/21/2022 0:01,3/21/2022 23:59,245559,CA WH4,BOUCHERVILLE,QC,J4B 1K7,CA,185501,CAMBRIDGE,A595,ON,N3E 1A2,CA,30370863,SO,,19,3/15/2022
3/13/2022 8:38,342730 (BOL),Booked,40820,3/18/2022 0:01,3/18/2022 23:59,3/21/2022 0:01,3/21/2022 23:59,245559,CA WH4,BOUCHERVILLE,QC,J4B 1K7,CA,245590,CALGARY,CA WH11,AB,T2C 4N4,CA,30371137,ST,,23,3/14/2022
3/13/2022 8:39,342732 (BOL),Booked,40974,3/18/2022 0:01,3/18/2022 23:59,3/21/2022 0:01,3/21/2022 23:59,245559,CA WH4,BOUCHERVILLE,QC,J4B 1K7,CA,245590,CALGARY,CA WH11,AB,T2C 4N4,CA,30371139,ST,,23,3/14/2022
3/12/2022 23:29,342725 (BOL),Booked,41952,4/12/2022 0:01,4/12/2022 23:59,4/14/2022 0:01,4/14/2022 23:59,245636,CA WH6,TORONTO,ON,M9L 1P1,CA,186002,MANASSAS,A666,VA,20109,US,60838074,SI,,23,3/13/2022
3/12/2022 23:29,342726 (BOL),Booked,41952,4/12/2022 0:01,4/12/2022 23:59,4/14/2022 0:01,4/14/2022 23:59,245636,CA WH6,TORONTO,ON,M9L 1P1,CA,186002,MANASSAS,A666,VA,20109,US,60838786,SI,,23,3/13/2022
3/13/2022 23:31,342917 (BOL),Booked,41952,4/13/2022 0:01,4/13/2022 23:59,4/15/2022 0:01,4/15/2022 23:59,245636,CA WH6,TORONTO,ON,M9L 1P1,CA,186002,MANASSAS,A666,VA,20109,US,60838782,SI,,23,3/14/2022
3/15/2022 10:56,343599 (BOL),Booked,42948,3/25/2022 0:01,3/25/2022 23:59,3/28/2022 0:01,3/28/2022 23:59,245533,CA WH7,LETHBRIDGE,AB,T1H 6X9,CA,346142,GILROY,A763,CA,95020,US,60839885,SI,,20,3/15/2022
3/14/2022 13:27,343271 (BOL),Booked,44211,3/20/2022 0:01,3/20/2022 23:59,3/22/2022 0:01,3/22/2022 23:59,260150,CA WH8,CALGARY,AB,T2C 2X8,CA,245581,SURREY,CA WH10,BC,V4N 4E5,CA,30371454,ST,,28,3/14/2022
3/14/2022 13:27,343272 (BOL),Booked,44211,3/20/2022 0:01,3/20/2022 23:59,3/22/2022 0:01,3/22/2022 23:59,260150,CA WH8,CALGARY,AB,T2C 2X8,CA,245581,SURREY,CA WH10,BC,V4N 4E5,CA,30371455,ST,,28,3/14/2022
3/11/2022 15:00,342490 (BOL),Booked,42005,3/24/2022 0:01,3/24/2022 23:59,3/25/2022 0:01,3/25/2022 23:59,245553,CA WH9,BRAMPTON,ON,L6T 5W2,CA,186838,OAK CREEK,A824,WI,53154,US,60838586,SI,,21,3/11/2022
3/11/2022 15:01,342491 (BOL),Booked,42382,3/24/2022 0:01,3/24/2022 23:59,3/25/2022 0:01,3/25/2022 23:59,245553,CA WH9,BRAMPTON,ON,L6T 5W2,CA,185554,MONROE,A1056,MI,48161,US,60838587,SI,,20,3/14/2022
3/11/2022 15:07,342492 (BOL),Booked,42382,3/24/2022 0:01,3/24/2022 23:59,3/25/2022 0:01,3/25/2022 23:59,245553,CA WH9,BRAMPTON,ON,L6T 5W2,CA,185554,MONROE,A1056,MI,48161,US,60838588,SI,,20,3/14/2022
3/11/2022 15:07,342493 (BOL),Booked,42382,3/24/2022 0:01,3/24/2022 23:59,3/25/2022 0:01,3/25/2022 23:59,245553,CA WH9,BRAMPTON,ON,L6T 5W2,CA,185554,MONROE,A1056,MI,48161,US,60838589,SI,,20,3/14/2022
3/11/2022 16:10,342532 (BOL),Booked,34254,3/22/2022 0:01,3/22/2022 23:59,3/24/2022 0:01,3/24/2022 23:59,245553,CA WH9,BRAMPTON,ON,L6T 5W2,CA,316850,SALISBURY,A472,NC,28144,US,60837656,SI,,18,3/14/2022
3/11/2022 16:10,342533 (BOL),Booked,18978,3/22/2022 0:01,3/22/2022 23:59,3/24/2022 0:01,3/24/2022 23:59,245553,CA WH9,BRAMPTON,ON,L6T 5W2,CA,316850,SALISBURY,A472,NC,28144,US,60837658,SI,,9,3/14/2022
3/11/2022 16:12,342541 (BOL),Booked,48739,3/21/2022 0:01,3/21/2022 23:59,3/22/2022 0:01,3/22/2022 23:59,245553,CA WH9,BRAMPTON,ON,L6T 5W2,CA,196147,WHITBY,A463,ON,L1N 9V9,CA,30371004,SO,,23,3/11/2022
3/11/2022 16:12,342543 (BOL),Booked,48739,3/21/2022 0:01,3/21/2022 23:59,3/22/2022 0:01,3/22/2022 23:59,245553,CA WH9,BRAMPTON,ON,L6T 5W2,CA,186460,KITCHENER,A461,ON,N2C 2G7,CA,30371005,SO,,23,3/11/2022
3/11/2022 18:28,342606 (BOL),Booked,45044,3/17/2022 0:01,3/17/2022 23:59,3/18/2022 0:01,3/18/2022 23:59,245553,CA WH9,BRAMPTON,ON,L6T 5W2,CA,186922,MARKHAM,A444,ON,L3R 1G7,CA,30370929,SO,,20,3/12/2022
3/13/2022 14:58,342760 (BOL),Booked,42005,3/22/2022 0:01,3/22/2022 23:59,3/23/2022 0:01,3/23/2022 23:59,245553,CA WH9,BRAMPTON,ON,L6T 5W2,CA,185904,TAYLORVILLE,A668,IL,62568,US,60838491,SI,,21,3/14/2022
3/13/2022 19:05,342876 (BOL),Booked,41211,3/22/2022 0:01,3/22/2022 23:59,3/24/2022 0:01,3/24/2022 23:59,245553,CA WH9,BRAMPTON,ON,L6T 5W2,CA,185972,NEWNAN,A416,GA,30265,US,60837530,SI,,18,3/13/2022
3/13/2022 19:07,342877 (BOL),Booked,36632,3/24/2022 0:01,3/24/2022 23:59,3/25/2022 0:01,3/25/2022 23:59,245553,CA WH9,BRAMPTON,ON,L6T 5W2,CA,185980,LOCKBOURNE,A415,OH,43137,US,60837609,SI,,16,3/13/2022
3/13/2022 19:07,342878 (BOL),Booked,43491,3/15/2022 0:01,3/15/2022 23:59,3/17/2022 0:01,3/17/2022 23:59,245553,CA WH9,BRAMPTON,ON,L6T 5W2,CA,185266,NORCROSS,A1147,GA,30071,US,60838425,SI,,23,3/14/2022
3/14/2022 8:50,342955 (BOL),Booked,41345,3/23/2022 0:01,3/23/2022 23:59,3/25/2022 0:01,3/25/2022 23:59,245553,CA WH9,BRAMPTON,ON,L6T 5W2,CA,333813,BOWLING GREEN,A749,KY,42101,US,60839509,SI,,20,3/14/2022
3/14/2022 9:13,342958 (BOL),Booked,14149,3/17/2022 0:01,3/17/2022 23:59,3/18/2022 0:01,3/18/2022 23:59,245553,CA WH9,BRAMPTON,ON,L6T 5W2,CA,185528,CAMBRIDGE,A433,ON,N1T 1Z6,CA,30367135,SO,,7,3/14/2022
3/8/2022 15:01,341069 (BOL),Booked,41240,3/17/2022 0:01,3/17/2022 23:59,3/18/2022 0:01,3/18/2022 23:59,245553,CA WH9,BRAMPTON,ON,L6T 5W2,CA,245570,ELIZABETH,US WH7,NJ,7201,US,30370202,S9,,20,3/9/2022
3/8/2022 15:01,341070 (BOL),Booked,41240,3/21/2022 0:01,3/21/2022 23:59,3/22/2022 0:01,3/22/2022 23:59,245553,CA WH9,BRAMPTON,ON,L6T 5W2,CA,245570,ELIZABETH,US WH7,NJ,7201,US,30370204,S9,,20,3/9/2022
3/8/2022 15:01,341071 (BOL),Booked,41240,3/23/2022 0:01,3/23/2022 23:59,3/24/2022 0:01,3/24/2022 23:59,245553,CA WH9,BRAMPTON,ON,L6T 5W2,CA,245570,ELIZABETH,US WH7,NJ,7201,US,30370205,S9,,20,3/9/2022
3/8/2022 15:02,341072 (BOL),Booked,43131,3/24/2022 0:01,3/24/2022 23:59,3/25/2022 0:01,3/25/2022 23:59,245553,CA WH9,BRAMPTON,ON,L6T 5W2,CA,245570,ELIZABETH,US WH7,NJ,7201,US,30370206,S9,,21,3/9/2022
3/8/2022 15:02,341073 (BOL),Booked,41240,3/22/2022 0:01,3/22/2022 23:59,3/23/2022 0:01,3/23/2022 23:59,245553,CA WH9,BRAMPTON,ON,L6T 5W2,CA,245570,ELIZABETH,US WH7,NJ,7201,US,30370207,S9,,20,3/9/2022
3/14/2022 11:20,343102 (BOL),Booked,42005,3/22/2022 0:01,3/22/2022 23:59,3/25/2022 0:01,3/25/2022 23:59,245553,CA WH9,BRAMPTON,ON,L6T 5W2,CA,186127,FORT WORTH,A664,TX,76118,US,60839591,SI,,21,3/14/2022
3/14/2022 11:30,343115 (BOL),Tendered,37175,3/20/2022 0:01,3/20/2022 23:59,3/21/2022 0:01,3/21/2022 23:59,245553,CA WH9,BRAMPTON,ON,L6T 5W2,CA,186460,KITCHENER,A461,ON,N2C 2G7,CA,30370906,SO,,16,3/14/2022
3/14/2022 11:32,343116 (BOL),Booked,51550,3/18/2022 0:01,3/18/2022 23:59,3/19/2022 0:01,3/19/2022 23:59,245553,CA WH9,BRAMPTON,ON,L6T 5W2,CA,186156,MISSISSAUGA,A2,ON,L5T 2Z5,CA,30371053,SO,,25,3/14/2022
